Stn Lat Lon Pr T S O2
103 -61 80.003 2 0.7191 34.082 282.83
103 -61 80.003 6 1.1361 34.899 262.26
103 -61 80.003 10 0.8935 35.098 255.54
103 -61 80.003 14 0.8442 34.855 253.22
103 -61 80.003 18 1.0814 34.444 262.19
103 -61 80.003 22 0.6257 33.75 309.04
103 -61 80.003 26 0.6224 33.75 308.92
103 -61 80.003 30 0.6135 33.751 308.81
103 -61 80.003 34 0.5986 33.754 308.65
103 -61 80.003 38 0.5752 33.761 307.16
103 -61 80.003 42 0.3846 33.812 303.07
103 -61 80.003 46 0.2858 33.838 299.45
103 -61 80.003 50 0.1778 33.861 295.08
103 -61 80.003 54 -0.0058 33.912 290.53
103 -61 80.003 58 -0.1015 33.938 287.08
103 -61 80.003 62 -0.2569 33.982 281.81
103 -61 80.003 66 -0.4183 34.057 274.92
103 -61 80.003 70 -0.4587 34.102 267.66
103 -61 80.003 74 -0.4876 34.123 262.23
103 -61 80.003 78 -0.4573 34.148 255.98
103 -61 80.003 82 -0.4528 34.156 252.68
103 -61 80.003 86 -0.389 34.172 249.01
103 -61 80.003 90 -0.2289 34.196 243.23
103 -61 80.003 94 -0.1753 34.207 238.89
103 -61 80.003 98 -0.1168 34.22 235.77
103 -61 80.003 102 -0.128 34.23 233.91
103 -61 80.003 106 0.0784 34.258 229.43
103 -61 80.003 110 0.4124 34.299 221.32
103 -61 80.003 114 0.4611 34.314 215.71
103 -61 80.003 118 0.6169 34.346 209.45
103 -61 80.003 122 0.5849 34.347 207.3
103 -61 80.003 126 0.7347 34.376 203.34
103 -61 80.003 130 1.0066 34.417 196.02
103 -61 80.003 134 1.2487 34.447 189.84
103 -61 80.003 138 1.3222 34.456 184.02
103 -61 80.003 142 1.255 34.447 182.92
103 -61 80.003 146 1.4059 34.474 179.8
103 -61 80.003 150 1.4545 34.482 177.41
103 -61 80.003 154 1.4332 34.483 176.42
103 -61 80.003 158 1.4223 34.484 175.89
103 -61 80.003 162 1.4202 34.487 175.72
103 -61 80.003 166 1.4413 34.492 175.02
103 -61 80.003 170 1.3959 34.496 175.26
103 -61 80.003 174 1.446 34.504 174.71
103 -61 80.003 178 1.6407 34.528 171.61
103 -61 80.003 182 1.6902 34.538 169.53
103 -61 80.003 186 1.6778 34.539 168.63
103 -61 80.003 190 1.6742 34.542 168.08
103 -61 80.003 194 1.7211 34.549 167.11
103 -61 80.003 198 1.8461 34.567 165.11
103 -61 80.003 202 1.8593 34.57 163.92
103 -61 80.003 206 1.8653 34.572 162.93
103 -61 80.003 210 1.8735 34.576 162.66
103 -61 80.003 214 1.8626 34.579 162.51
103 -61 80.003 218 1.8689 34.583 162.27
103 -61 80.003 222 1.8217 34.58 162.52
103 -61 80.003 226 1.7906 34.579 163
103 -61 80.003 230 1.8169 34.584 162.87
103 -61 80.003 234 1.8118 34.587 162.72
103 -61 80.003 238 1.8247 34.59 162.47
103 -61 80.003 242 1.8175 34.593 162.44
103 -61 80.003 246 1.8211 34.596 162.24
103 -61 80.003 250 1.828 34.598 162.08
103 -61 80.003 254 1.8307 34.601 161.9
103 -61 80.003 258 1.8228 34.602 161.78
103 -61 80.003 262 1.8348 34.607 161.45
103 -61 80.003 266 1.8443 34.61 161.18
103 -61 80.003 270 1.8506 34.612 161.01
103 -61 80.003 274 1.8612 34.616 160.66
103 -61 80.003 278 1.863 34.617 160.52
103 -61 80.003 282 1.8653 34.618 160.54
103 -61 80.003 286 1.8961 34.625 160.37
103 -61 80.003 290 1.9016 34.626 160.46
103 -61 80.003 294 1.9269 34.631 160.51
103 -61 80.003 298 1.9412 34.636 160.55
103 -61 80.003 302 1.9426 34.639 160.59
103 -61 80.003 306 1.9425 34.641 160.57
103 -61 80.003 310 1.9562 34.645 160.7
103 -61 80.003 314 1.9695 34.65 161.16
103 -61 80.003 318 1.9709 34.651 161.27
103 -61 80.003 322 1.9643 34.652 161.37
103 -61 80.003 326 1.9625 34.654 161.22
103 -61 80.003 330 1.9612 34.654 161.14
103 -61 80.003 334 1.9576 34.656 160.93
103 -61 80.003 338 1.9557 34.657 160.83
103 -61 80.003 342 1.9561 34.657 160.73
103 -61 80.003 346 1.9563 34.66 160.67
103 -61 80.003 350 1.9566 34.661 160.69
103 -61 80.003 354 1.9551 34.662 160.59
103 -61 80.003 358 1.9566 34.664 160.67
103 -61 80.003 362 1.9531 34.665 160.56
103 -61 80.003 366 1.9524 34.666 160.56
103 -61 80.003 370 1.9533 34.668 160.56
103 -61 80.003 374 1.9546 34.669 160.59
103 -61 80.003 378 1.9529 34.67 160.64
103 -61 80.003 382 1.953 34.672 160.69
103 -61 80.003 386 1.954 34.673 160.88
103 -61 80.003 390 1.9541 34.674 160.96
103 -61 80.003 394 1.955 34.674 161.13
103 -61 80.003 398 1.9558 34.676 161.25
103 -61 80.003 402 1.9547 34.679 161.19
103 -61 80.003 406 1.9549 34.68 161.19
103 -61 80.003 410 1.9554 34.681 161.32
103 -61 80.003 414 1.9568 34.682 161.94
103 -61 80.003 418 1.957 34.684 162.75
103 -61 80.003 422 1.9571 34.685 163.4
103 -61 80.003 426 1.9566 34.686 163.73
103 -61 80.003 430 1.9544 34.688 164.09
103 -61 80.003 434 1.9529 34.688 164.26
103 -61 80.003 438 1.9532 34.689 164.43
103 -61 80.003 442 1.9558 34.691 164.57
103 -61 80.003 446 1.9571 34.693 164.54
103 -61 80.003 450 1.9572 34.696 164.45
103 -61 80.003 454 1.9561 34.696 164.28
103 -61 80.003 458 1.9546 34.697 164.09
103 -61 80.003 462 1.9539 34.698 164.08
103 -61 80.003 466 1.9537 34.698 164.35
103 -61 80.003 470 1.9538 34.699 164.77
103 -61 80.003 474 1.96 34.701 165.54
103 -61 80.003 478 1.9638 34.703 165.98
103 -61 80.003 482 1.9669 34.704 166.25
103 -61 80.003 486 1.9693 34.705 166.66
103 -61 80.003 490 1.9678 34.706 166.84
103 -61 80.003 494 1.9652 34.708 167.15
103 -61 80.003 498 1.9638 34.708 167.47
103 -61 80.003 502 1.9623 34.709 167.56
103 -61 80.003 506 1.9614 34.709 167.73
103 -61 80.003 510 1.9603 34.71 167.89
103 -61 80.003 514 1.9601 34.711 168.03
103 -61 80.003 518 1.9575 34.712 168.17
103 -61 80.003 522 1.9551 34.713 168.27
103 -61 80.003 526 1.9539 34.714 168.4
103 -61 80.003 530 1.9539 34.716 168.64
103 -61 80.003 534 1.9532 34.716 168.77
103 -61 80.003 538 1.9517 34.717 168.99
103 -61 80.003 542 1.95 34.717 169.12
103 -61 80.003 546 1.9498 34.717 169.24
103 -61 80.003 550 1.9492 34.718 169.35
103 -61 80.003 554 1.9487 34.718 169.51
103 -61 80.003 558 1.946 34.719 169.61
103 -61 80.003 562 1.9444 34.72 169.74
103 -61 80.003 566 1.9405 34.721 169.98
103 -61 80.003 570 1.938 34.722 170.14
103 -61 80.003 574 1.9359 34.722 170.31
103 -61 80.003 578 1.9338 34.723 170.53
103 -61 80.003 582 1.9345 34.723 170.62
103 -61 80.003 586 1.9335 34.724 170.71
103 -61 80.003 590 1.9315 34.724 170.81
103 -61 80.003 594 1.9282 34.725 170.99
103 -61 80.003 598 1.9258 34.726 171.17
103 -61 80.003 602 1.9216 34.728 171.41
103 -61 80.003 606 1.921 34.728 171.54
103 -61 80.003 610 1.92 34.728 171.6
103 -61 80.003 614 1.916 34.73 171.76
103 -61 80.003 618 1.9158 34.73 171.8
103 -61 80.003 622 1.9137 34.73 171.86
103 -61 80.003 626 1.9107 34.731 171.95
103 -61 80.003 630 1.9078 34.731 172.11
103 -61 80.003 634 1.9064 34.731 172.29
103 -61 80.003 638 1.9028 34.732 172.49
103 -61 80.003 642 1.901 34.732 172.62
103 -61 80.003 646 1.8992 34.733 172.76
103 -61 80.003 650 1.8984 34.734 172.95
103 -61 80.003 654 1.8983 34.734 173.02
103 -61 80.003 658 1.8986 34.736 173.06
103 -61 80.003 662 1.8979 34.736 173.22
103 -61 80.003 666 1.8982 34.737 173.35
